id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
125081,One step away from the Drive!,69746,Serge & Brigitte,,Grandview-Woodland,49.26772,-123.06551,Private room,85,3,161,2019-02-16,1.46,2,272
125176,Main Street Vineyard,622926,Mark,,Riley Park,49.24648,-123.09241,Entire home/apt,110,2,405,2019-03-06,4.38,1,162
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,,Renfrew-Collingwood,49.24507,-123.04941,Private room,44,30,50,2019-02-16,0.60,2,288
129756,cosy room near skytrain &The Drive,69746,Serge & Brigitte,,Grandview-Woodland,49.26785,-123.06612,Private room,81,3,176,2019-02-18,1.87,2,218
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24493,-123.04916,Private room,39,30,37,2018-12-15,0.40,5,212
140698,"1905 Neo-Edwardian Heritage Loft, Olympic Village",69640,Steve,,Mount Pleasant,49.26292,-123.10581,Entire home/apt,99,5,94,2019-01-01,1.00,1,240
160157,City Centre and Walk to Beach,767559,Valentina,,West End,49.28232,-123.12954,Entire home/apt,108,2,399,2019-02-21,4.28,1,82
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.2571,-123.19101,Entire home/apt,175,1,110,2019-02-15,1.20,1,216
172827,Charming and Homely Downtown Penthouse - Sleeps 6!,19982,Fernande,,West End,49.28161,-123.12696,Entire home/apt,250,2,4,2019-01-05,0.53,1,0
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,,Downtown Eastside,49.27782,-123.08985,Entire home/apt,95,30,116,2018-04-04,1.28,1,296
179243,❤️ Private Room in Brick Loft Apt,851779,Elizabeth & Ryan,,Mount Pleasant,49.25813,-123.10177,Private room,95,2,523,2019-01-08,5.68,2,153
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,,Kitsilano,49.25962,-123.16848,Entire home/apt,93,30,51,2018-12-25,0.55,3,64
194806,D28 - Spectacular 2 bedroom,30899,Rami,,Downtown,49.27936,-123.10934,Entire home/apt,125,30,28,2019-02-03,0.31,33,341
196722,"Three bedrooms, fantastic location!",958297,Elana & Gary,,Grandview-Woodland,49.26364,-123.06967,Entire home/apt,208,5,11,2019-01-05,0.20,2,134
200643,This is the door to Vancouver USW,981145,Dianne,,Downtown Eastside,49.27384,-123.08289,Private room,70,1,93,2019-03-03,1.18,4,355
202211,Trout Lake Haven !,989790,Paul,,Kensington-Cedar Cottage,49.25381,-123.05951,Private room,75,2,158,2018-09-15,1.73,4,23
219261,A Real Gem in the Heart of Kits,1135259,Rami,,Kitsilano,49.27246,-123.14954,Entire home/apt,200,1,126,2019-03-05,4.13,2,194
226731,Vancouver central- 1bdrm private condo,560892,Vancouver Furnished,,Downtown,49.28406,-123.11598,Entire home/apt,168,30,10,2018-09-23,0.15,1,365
248014,"Stunning views, comfort, location!!",1299977,Gabriella,,Grandview-Woodland,49.29074,-123.05849,Entire home/apt,81,31,1,2014-09-04,0.02,1,49
248973,East Vancouver Hidden Gem,1304461,Shelley,,Hastings-Sunrise,49.28053,-123.05494,Entire home/apt,140,2,72,2019-01-06,0.81,2,233
249106,East Vancouver Loft,1304461,Shelley,,Hastings-Sunrise,49.28035,-123.05365,Shared room,44,2,79,2019-02-03,0.88,2,231
254657,Heritage Loft in heart of Gastown,241920,Scott,,Downtown Eastside,49.28273,-123.10492,Entire home/apt,222,2,55,2018-09-23,0.77,1,0
256178,Luxury Coach House in Kitsilano license (Phone number hidden by Airbnb),1267409,Julia,,Kitsilano,49.26291,-123.17216,Entire home/apt,300,2,5,2018-11-13,0.06,2,196
257163,"Lg. Room, Private Bath & Breakfast!",70797,Adrianna,,Kensington-Cedar Cottage,49.24003,-123.0639,Private room,67,3,37,2018-09-23,0.43,1,89
258636,FABULOUS Luxury Downtown Vancouver!,948852,Ian,,Downtown,49.27796,-123.12671,Entire home/apt,99,180,52,2018-10-28,0.59,1,335
266307,Main St and Queen Elizabeth Park,1396322,Erika,,Riley Park,49.24812,-123.10331,Private room,120,2,46,2018-09-21,0.57,1,304
274284,fabulous view over false creek  ,1424264,James,,Downtown,49.27552,-123.10251,Entire home/apt,269,30,36,2018-07-27,0.41,1,304
303950,"West Coast Stunner!  Mountain view, central",196890,Siobhan,,Mount Pleasant,49.26225,-123.08421,Entire home/apt,237,31,23,2018-02-28,0.34,1,365
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,,Renfrew-Collingwood,49.23311,-123.02669,Private room,66,2,58,2019-02-22,0.74,2,132
322824,Modern yaletown apartment with view!,1652613,Blake,,Downtown,49.27706,-123.12438,Entire home/apt,171,31,138,2019-01-21,1.63,1,65
325795,"Spotless 1B Apt. 5 min walk to Commerical ""Drive""",343195,Trish,,Grandview-Woodland,49.26634,-123.06207,Entire home/apt,81,3,168,2019-02-26,2.02,2,268
359942,Stylish Dwntwn Condo-female/couple ,1200456,Nala,,Downtown,49.27825,-123.11865,Private room,254,30,41,2018-09-18,0.48,7,365
363705,This is the door to Vancouver USE,981145,Dianne,,Downtown Eastside,49.27711,-123.07861,Private room,67,1,70,2019-01-31,0.85,4,357
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,,Grandview-Woodland,49.279,-123.06977,Private room,38,30,54,2018-11-13,0.68,1,303
415700,"LARGE PRIVATE ROOM+BATH, SEPARATE ENTRY, KING BED",83871,Adam,,Renfrew-Collingwood,49.23468,-123.05508,Private room,50,3,167,2019-02-23,1.99,3,272
416453,Ultra Modern Studio in False Creek,1318151,Suz,,Downtown Eastside,49.27844,-123.09986,Entire home/apt,149,30,43,2018-09-04,0.52,1,269
417047,New 2 BR Only Minutes from Downtown,2074212,Andrea,,Downtown Eastside,49.27782,-123.09209,Entire home/apt,110,2,181,2019-03-03,2.17,1,147
419437,Trout  Lake  Haven,989790,Paul,,Kensington-Cedar Cottage,49.25231,-123.06134,Private room,75,2,85,2018-09-15,1.01,4,282
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,,Downtown Eastside,49.28297,-123.10393,Entire home/apt,245,4,60,2019-02-19,0.73,1,39
438881,Small private room close to Airport,1405499,Marcel,,Marpole,49.20623,-123.13637,Private room,27,32,61,2018-06-07,0.73,1,144
448104,Modern Charm in Downtown Vancouver,179396,Lili,,West End,49.28145,-123.12582,Entire home/apt,138,28,242,2019-01-20,2.92,5,63
461370,Lovely large room w/ private bath ,1200456,Nala,,Killarney,49.22814,-123.03149,Private room,87,2,40,2018-09-03,0.50,7,365
461386,Beautiful room (s) Vancouver Home ,1200456,Nala,,Killarney,49.22846,-123.03121,Private room,87,2,31,2018-09-01,0.38,7,365
475296,1400 sqft LOFT PENTHOUSE IN GASTOWN,2356016,Jocelyn,,Downtown Eastside,49.28339,-123.10453,Entire home/apt,349,1,91,2019-02-24,1.34,1,330
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,,Downtown,49.27996,-123.11684,Entire home/apt,120,31,154,2019-02-02,1.89,1,239
497641,Spacious Blue Room in Large House,2456973,Jeanette,,Fairview,49.2589,-123.12998,Private room,99,30,24,2018-08-03,0.29,4,251
498112,"Renovated, modern house with 2 kitchens",2459577,Allison,,Kensington-Cedar Cottage,49.2487,-123.07002,Entire home/apt,375,5,22,2018-08-16,0.27,2,258
504154, Bright & Spacious Rooms near VGH,2456973,Jeanette,,Shaughnessy,49.25705,-123.13174,Private room,99,30,15,2018-10-31,0.18,4,341
507767,One Bedroom Suite @ the Luxurious LEVEL Vancouver,2502595,LEVEL Furnished Living,,Downtown,49.2775,-123.12296,Entire home/apt,230,31,2,2014-08-31,0.03,19,341
523272,Adorable 3 Bedroom Cambie Craftsman,2572830,Katie,,South Cambie,49.25529,-123.11692,Entire home/apt,235,3,26,2018-09-16,0.32,1,194
540348,Modern Architectural Home Lakeside sleeps 6,2655554,Kristen,,Kensington-Cedar Cottage,49.25761,-123.06393,Entire home/apt,331,1,20,2018-10-14,0.30,2,348
556941,Gorgeous Chinatown condo,2738423,Laurence,,Downtown Eastside,49.27765,-123.09927,Entire home/apt,105,5,51,2018-11-12,0.63,1,2
557357,Commercial Dr West Coast Garden Ste,525761,Diane,,Grandview-Woodland,49.27909,-123.06272,Entire home/apt,70,30,184,2018-08-29,2.27,2,212
569160,Sunny Sunset Beach & Davie Street,2799473,Heath,,West End,49.2788,-123.12968,Entire home/apt,125,28,40,2018-12-31,0.51,1,231
591782,Mai Lodging - Queen Bed  1,9187,Mai,,Kensington-Cedar Cottage,49.24815,-123.06702,Private room,60,2,11,2015-07-09,0.14,3,16
591808,Mai Lodging - Room Single Bed 3,9187,Mai,,Kensington-Cedar Cottage,49.24829,-123.06722,Private room,38,2,15,2018-10-30,0.19,3,42
